Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Jared Abbrederis,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Packers,2016
Davante Adams,,,,,,Q,,,,,,,,,,,24.0,WR,1072746.0,Packers,2016
Kennard Backman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Packers,2016
Chris Banjo,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,Packers,2016
Don Barclay,,,,,,,,,,,Q,,,,,,,,,Packers,2016
John Crockett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Packers,2016
Trevor Davis,D,Q,,,,,,,,,,,,,,,,,,Packers,2016
Makinton Dorleant,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,Packers,2016
Jayrone Elliott,D,D,,,,,,,,,,,,,O,Q,,,,Packers,2016
Kyler Fackrell,,,,,,,,,,,O,O,O,Q,,,,,,Packers,2016
Jacob Flores,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Packers,2016
Demetri Goodson,,,,,,,,Q,,,IR,O,IR,IR,IR,IR,,,,Packers,2016
Josh Hawkins,O,O,,,,,,,,,,,,,,,,,,Packers,2016
Don Jackson,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,Packers,2016
Tyler Kuder,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Packers,2016
Eddie Lacy,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,26.0,rb,1079404.0,Packers,2016
Corey Linsley,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,25.0,C,646250.0,Packers,2016
Blake Martinez,,,,,,,,,,,O,Q,Q,Q,,,22.0,RILB,545848.0,Packers,2016
Clay Matthews,,,Q,,,,Q,Q,O,Q,,Q,Q,,,,30.0,ROLB,13750000.0,Packers,2016
Nick Perry,,,,,,,,,,,,,O,D,Q,,26.0,ROLB,4875000.0,Packers,2016
Damarious Randall,,,,Q,Q,O,O,O,O,O,Q,Q,Q,Q,Q,Q,24.0,LCB,1799030.0,Packers,2016
Quinten Rollins,,,,,Q,O,O,Q,,,,,,,,,24.0,DB,850583.0,Packers,2016
Jake Ryan,,,,,,,,,,O,Q,Q,,,,,24.0,LILB,639169.0,Packers,2016
Sam Shields,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Packers,2016
James Starks,,,,,Q,O,O,O,Q,,,,,D,O,O,,,,Packers,2016
Kyle Steuck,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Packers,2016
J.C. Tretter,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,25.0,c,778977.0,Packers,2016
