Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Salvon Ahmed,,,,,,,,,,,O,,,22.0,RB,466471.0,Dolphins,2020
Vince Biegel,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Dolphins,2020
Lynn Bowden Jr.,,,,,,,,C19,C19,,,,,23.0,WR,,Dolphins,2020
Matt Breida,,,,,,,,O,Q,,,C19,C19,25.0,RB,3259000.0,Dolphins,2020
Nate Brooks,IR,IR,,,,,,,,,,,,,,,Dolphins,2020
Jesse Davis,,,,,,,,,,,C19,,,29.0,T,3855000.0,Dolphins,2020
Clayton Fejedelem,D,D,D,,,,,,,,,,,27.0,FS,1500000.0,Dolphins,2020
Kavon Frazier,,,,D,,,,,,,,,,26.0,FS,910000.0,Dolphins,2020
Myles Gaskin,,,,,,,,IR,IR,IR,IR,IR,C19,,,,Dolphins,2020
Davon Godchaux,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Dolphins,2020
Jakeem Grant,,,,,Q,,,,,,Q,,,28.0,WR,3780000.0,Dolphins,2020
Allen Hurns,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Dolphins,2020
Austin Jackson,,,,,IR,IR,IR,IR,,,,,,21.0,OL,560588.0,Dolphins,2020
Byron Jones,,,O,D,,,,,,,,,,28.0,CB,11000000.0,Dolphins,2020
Solomon Kindley,,,,Q,,,,,,Q,O,,,23.0,OL,610000.0,Dolphins,2020
Shaq Lawson,,,,,O,Q,,,,,,,,26.0,DE,6400000.0,Dolphins,2020
Jonathan Ledbetter,,,,,IR,,,,,,,,,,,,Dolphins,2020
DeVante Parker,,Q,,,,,,,,,,,,27.0,WR,1300000.0,Dolphins,2020
Jamal Perry,,,,,,,O,Q,Q,,,,C19,,,,Dolphins,2020
Elandon Roberts,,O,,,,,,,,,,,,26.0,ILB,1000000.0,Dolphins,2020
Adam Shaheen,,,,,,,Q,,,,,,,26.0,TE,1270982.0,Dolphins,2020
Ray Smith,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,Dolphins,2020
Durham Smythe,,,,,O,Q,,,Q,,,,,25.0,TE,750000.0,Dolphins,2020
Jason Strowbridge,,,O,,,,,,,,,,,24.0,DL,610000.0,Dolphins,2020
Tua Tagovailoa,,,,Q,,,,,,,Q,,,22.0,QB,610000.0,Dolphins,2020
Kyle Van Noy,,,,,,Q,,,C19,Q,,,,29.0,OLB,3000000.0,Dolphins,2020
Christian Wilkins,,,,,,,,,C19,C19,C19,,,25.0,DL,1196777.0,Dolphins,2020
Albert Wilson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Dolphins,2020
