Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Mackensie Alexander,,,,D,D,Q,,,C19,,Q,,,27.0,CB,2250000.0,Bengals,2020
Geno Atkins,O,O,O,O,,,,,O,,,,,,,,Bengals,2020
Amani Bledsoe,,,,,,,,,,,,C19,C19,22.0,DE,574112.0,Bengals,2020
Tony Brown,,,,,,,,,,,,IR,IR,,,,Bengals,2020
Joe Burrow,,,,,,,,,,,IR,IR,IR,,,,Bengals,2020
Mike Daniels,,O,Q,O,IR,IR,IR,,,,,,,31.0,DT,1050000.0,Bengals,2020
Bobby Hart,,,,,,,,O,O,,,,,26.0,OG,2850000.0,Bengals,2020
Trey Hopkins,,,,,,,,O,,,,,,28.0,G,2550000.0,Bengals,2020
Sam Hubbard,,,,,,IR,IR,IR,IR,,,,,25.0,DE,538237.0,Bengals,2020
Margus Hunt,,,,,,,,,C19,C19,,,,33.0,DE,679412.0,Bengals,2020
William Jackson III,,,,,,,O,,,,,,,28.0,CB,9954000.0,Bengals,2020
Joe Mixon,,,,,Q,,O,O,D,IR,IR,IR,IR,,,,Bengals,2020
Darius Phillips,,,,,,,,Q,O,,,,IR,25.0,CB,750000.0,Bengals,2020
Isaiah Prince,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bengals,2020
D.J. Reader,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bengals,2020
John Ross,,,,,D,,Q,D,O,,,,,,,,Bengals,2020
LeShaun Sims,D,,,,,,,,O,,,,,27.0,CB,1100000.0,Bengals,2020
Xavier Su'a-Filo,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,29.0,OG,1000000.0,Bengals,2020
Auden Tate,,,,,,D,,,,,C19,IR,IR,,,,Bengals,2020
Mike Thomas,,,,,,,,,,Q,D,,,26.0,WR,825000.0,Bengals,2020
Josh Tupou,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bengals,2020
C.J. Uzomah,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bengals,2020
Trae Waynes,IR,IR,IR,IR,IR,IR,IR,IR,IR,C19,IR,IR,IR,,,,Bengals,2020
Jonah Williams,,,,,,,,O,Q,,,,,,,,Bengals,2020
Shawn Williams,O,O,Q,,,,Q,,,,,,,29.0,SS,3935000.0,Bengals,2020
Xavier Williams,,,,,,,,,,Q,,,,28.0,DT,642353.0,Bengals,2020
Logan Wilson,,,,O,,,,,,,,,,24.0,LB,610000.0,Bengals,2020
