Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week15,Week 16,Age,Pos,Salary,Team,Year
Stephone Anthony,,,,,,O,O,Q,O,,,,,IR,IR,IR,,,,Saints,2016
Terron Armstead,Q,Q,O,O,O,Q,Q,Q,Q,O,Q,O,Q,IR,IR,IR,25.0,LT,680000.0,Saints,2016
Chris Banjo,D,D,,,O,,,,,,,,,,,,,,,Saints,2016
Sam Barrington,,O,,,,,,,,,,,,,,,,,,Saints,2016
Delvin Breaux,,O,O,O,O,O,O,Q,,Q,,,,IR,IR,IR,27.0,LCB,525000.0,Saints,2016
Tony Carter,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2016
Ken Crawley,,,,,,,,,,,,,,,,O,23.0,rcb,450000.0,Saints,2016
Tyeler Davison,,,Q,Q,,,,,,,,,,,,,24.0,LDT,525000.0,Saints,2016
Dannell Ellerbe,O,O,Q,Q,O,O,Q,O,Q,,,,,,Q,Q,31.0,LLB,1700000.0,Saints,2016
Obum Gwacham,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2016
Erik Harris,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2016
Josh Hill,,O,Q,O,Q,,,,,,,,IR,IR,IR,IR,26.0,TE,750000.0,Saints,2016
Michael Hoomanawanui,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2016
Cameron Jordan,,,Q,,,,,,,,,,,,,,27.0,RDE,765000.0,Saints,2016
Senio Kelemete,,,,O,Q,,Q,,,,Q,,Q,,,,26.0,LG,977500.0,Saints,2016
Hau'oli Kikaha,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2016
Paul Kruger,,,,,Q,Q,,,,,,,,,,,30.0,LDE,900000.0,Saints,2016
Jake Lampman,,,,,,,O,Q,,,,,,,,,,,,Saints,2016
Daniel Lasco,,,,,,O,Q,O,Q,O,O,O,Q,Q,,,,,,Saints,2016
James Laurinaitis,,,,Q,Q,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2016
Michael Mauti,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2016
Sterling Moore,,,,,,O,O,Q,,,,,,,,,26.0,RCB,760000.0,Saints,2016
David Onyemata,,,,,,,,,,,Q,,,,,,,,,Saints,2016
Andrus Peat,,,,,,O,Q,,,,,,,,,,23.0,LG,952887.0,Saints,2016
D.J. Pettway,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2016
Kyle Prater,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2016
Jimmy Pruitt,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2016
Sheldon Rankins,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,Saints,2016
Jamarca Sanford,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2016
Jeff Schoettmer,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2016
Damian Swann,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2016
Tyrus Thompson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2016
P.J. Williams,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2016
Kyle Wilson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2016
Avery Young,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2016
